Name,CollisionLink,X(m),Y(m),Z(m),Mass(kg),Lxx(kg * m2),Lyy(kg * m2),Lzz(kg * m2),Lxy(kg * m2),Lxz(kg * m2),Lyz(kg * m2)
RootWaist,Link 0,-0.010985,-0.000323,0.033148,2.5,0.038530767,0.017354343,0.053231634,-0.000000135,0.000238121,-4.8E-10
RightSagittalAnkle,Link 1,0.01003,0.000936,-0.0669,3.1334,0.00774203,0.014781323,0.013361748,0.000455866,-0.001851657,-0.000147513
RightFrontalAnkle,Link 2,0.002577,-0.013536,0.000182,1.50359,0.001395488,0.001589358,0.002418657,0.00000685,1E-11,0
RightFrontalKnee,Link 3,-0.006614,-0.000411,-0.146413,1.94824,0.02186171,0.021411109,0.003843636,0,0.00000316,0
RightFrontalHip,Link 4,-0.010862,-0.000006,-0.161205,1.89152,0.015077735,0.015112044,0.00747346,0,-0.000442074,0
RightSagittalHip,Link 5,-0.000636,0.001058,0.000349,1.45459,0.001545815,0.00119159,0.002270482,-0.00000297,-4.07E-09,9.16E-09
RightAxialHip,Link 6,0.000089,-0.000389,-0.065985,0.84945,0.001564202,0.002645089,0.001706349,0,0.0000025,0
LeftAxialHip,Link 7,0.000089,-0.000389,-0.065985,0.84945,0.001564202,0.002645089,0.001706349,0.0000025,0,0
LeftSagittalHip,Link 8,-0.00011,-0.000988,0.000214,1.45459,0.001545815,0.00119159,0.002270482,-0.00000297,-4.07E-09,9.16E-09
LeftFrontalHip,Link 9,-0.010862,-0.000006,-0.161205,1.89152,0.015077735,0.015112044,0.00747346,0,-0.000442074,0
LeftFrontalKnee,Link 10,-0.006614,-0.000411,-0.146413,1.94824,0.02186171,0.021411109,0.003843636,0,0.00000316,0
LeftFrontalAnkle,Link 11,0.001999,0.013793,0.000035,1.50359,0.001392287,0.001590045,0.00241606,-0.0000121,1E-11,1E-11
LeftSagittalAnkle,Link 12,0.010136,-0.000799,-0.0669,3.1334,0.007763728,0.014591641,0.013164253,-0.000524258,-0.001424772,0.000173925
AxialWaist,Link 13,-0.002235,-0.000979,-0.018814,1,0.001977587,0.000899729,0.001471749,0.00000206,0.0000297,-0.00000307
FrontalWaist,Link 14,0.032985,-0.007876,0.220667,14.23545,0.33566514,0.126531585,0.263359225,0.000162127,0.011858221,0.000914091
RightFrontalShoulder,Link 15,-0.002267,-0.056164,0.008456,2,0.004226791,0.002127281,0.004093161,0.0000844,-0.0000117,-0.000280493
RightSagittalShoulder,Link 16,-0.008472,-0.004826,-0.027321,1,0.001610932,0.002187776,0.001173533,-0.000069,-0.000214886,-0.000069
RightAxialShoulder,Link 17,0.000347,0.000245,0.107382,1,0.006925108,0.006741634,0.000611796,0,0,-0.0000397
RightFrontalElbow,Link 18,0.000237,-0.00004,-0.04998,1,0.002590029,0.00262307,0.000446024,0,0,0
RightAxialWrist,Link 19,-0.001151,0.000603,0.02464,0.63149,0.000701463,0.000612806,0.000326949,-0.0000105,-0.0000109,0.0000115
RightFrontalWrist,Link 20,-0.002314,0.00007,-0.108635,1.17,0.005329957,0.005345282,0.000883179,0.000000102,0.000114751,-0.00000807
LeftFrontalShoulder,Link 21,-0.002272,0.056186,0.008165,2,0.004226791,0.00212734,0.00409322,-0.0000855,-0.0000117,0.000280493
LeftSagittalShoulder,Link 22,-0.008047,0.004937,-0.027619,1,0.001610921,0.002187768,0.001173531,0.000069,-0.000214885,-0.000163004
LeftAxialShoulder,Link 23,-0.000172,0.000249,0.100649,1,0.006925108,0.006741634,0.000611796,0,0,0.0000397
LeftFrontalElbow,Link 24,0.000287,-0.000116,-0.053185,1,0.002590029,0.00262307,0.000446024,0,0,0
LeftAxialWrist,Link 25,-0.001151,0.000603,0.02464,0.63149,0.000701463,0.000612806,0.000326949,-0.0000105,-0.0000109,0.0000115
LeftFrontalWrist,Link 26,-0.002314,0.00007,-0.108635,1.17,0.005330647,0.005345282,0.000882489,0.000000128,0.000100487,-0.00000807
AxialNeck,Link 27,0.000302,0.000193,-0.0452,1,0.000939063,0.000939063,0.000528125,0,0,0
FrontalNeck,Link 28,-0.002729,-0.000086,0.067027,2,0.007599322,0.008325273,0.011403464,5.83E-09,0.0000658,-7.43E-09
